code,language,one
deep_powder,en,deep powder
water,en,water
heavy_wet_snow,en,heavy wet snow
freshly_plowed_field_or_pile_of_leaves,en,freshly plowed field or pile of leaves
meadow,en,meadow
solid_ice_or_icy_snow_or_tamped_earth,en,solid ice or icy snow or tamped earth
flat_stone_tiles,en,flat stone tiles
bumpy_rock,en,bumpy rock
sharp_rocks_or_pointed_pales,en,sharp rocks or pointed pales
deep_powder,cs,hluboký prašan
water,cs,voda
heavy_wet_snow,cs,"těžký, mokrý, bořící se sníh"
freshly_plowed_field_or_pile_of_leaves,cs,"čerstvá oranice, hromada listí"
meadow,cs,louka
solid_ice_or_icy_snow_or_tamped_earth,cs,"pevná vrstva ledu, zledovatělého sněhu, udusaná hlína"
flat_stone_tiles,cs,rovné kamenné dlaždice
bumpy_rock,cs,nerovná skála
sharp_rocks_or_pointed_pales,cs,"ostrá skaliska, zašpičatěné kůly na dně jámy"
